municipality,group,variable,month,Total 11.5 Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
AYO AYO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
CAJUATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,5,5
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,6,6
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,4,4
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,6,6
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,113,113
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,57,57
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ESCOMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,7,7
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,13,13
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ICLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
IXIAMAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,165,165
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,3,3
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,5,5
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,22,22
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,5,5
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,40,40
PUERTO QUIJARRO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,12,12
PUERTO RICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,4,4
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,3,3
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,18,18
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,4,4
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,3,3
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN JAVIER(BNI),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,138,138
SANTA ROSA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,51,51
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,19,19
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
TINGUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
TOMINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,18,18
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
TURCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,4,4
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
VINTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,18,18
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,3,3
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,6,6
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,2,2
YOCALLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
YOTALA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
AZURDUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,6,6
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,8,8
COCAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,101,101
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
COPACABANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,56,56
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,7,7
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,125,125
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,7,7
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,32,32
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
PELECHUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
POOPO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
PORCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,60,60
PUERTO CARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
PUERTO RICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,4,4
PUNA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,8,8
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,18,18
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,5,5
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,23,23
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,88,88
