municipality,group,variable,month,Total 11.3 Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos,2014-01-01,25,25
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
AIQUILE,atencion de partos en servicios,nacidos vivos,2014-01-01,17,17
ALALAY,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
ALCALA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
ALTO BENI,atencion de partos en servicios,nacidos vivos,2014-01-01,14,14
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
ARANI,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
ARBIETO,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
ARQUE,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2014-01-01,61,61
ATOCHA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
AYATA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
AYO AYO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2014-01-01,21,21
AZURDUY,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
BATALLAS,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
BAURES,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
BELEN DE ANDAMARCA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2014-01-01,53,53
BETANZOS,atencion de partos en servicios,nacidos vivos,2014-01-01,32,32
BOLIVAR,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
BOYUIBE,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
CABEZAS,atencion de partos en servicios,nacidos vivos,2014-01-01,34,34
CAIROMA,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
CAJUATA,atencion de partos en servicios,nacidos vivos,2014-01-01,17,17
CALAMARCA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
CAMARGO,atencion de partos en servicios,nacidos vivos,2014-01-01,28,28
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos,2014-01-01,90,90
CAPINOTA,atencion de partos en servicios,nacidos vivos,2014-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
CARACOLLO,atencion de partos en servicios,nacidos vivos,2014-01-01,14,14
CARANAVI,atencion de partos en servicios,nacidos vivos,2014-01-01,81,81
CARAPARI,atencion de partos en servicios,nacidos vivos,2014-01-01,10,10
CARIPUYO,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
CHACARILLA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2014-01-01,43,43
CHAQUI,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
CHARAGUA,atencion de partos en servicios,nacidos vivos,2014-01-01,73,73
CHAYANTA,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
CHIMORE,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
CHIPAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2014-01-01,21,21
CHUMA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
CKOCHAS,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
CLIZA,atencion de partos en servicios,nacidos vivos,2014-01-01,22,22
COBIJA,atencion de partos en servicios,nacidos vivos,2014-01-01,155,155
COCAPATA,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2014-01-01,1689,1689
COIPASA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2014-01-01,47,47
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
COLOMI,atencion de partos en servicios,nacidos vivos,2014-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2014-01-01,16,16
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
COLQUIRI,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
COMARAPA,atencion de partos en servicios,nacidos vivos,2014-01-01,26,26
COMBAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos vivos,2014-01-01,27,27
COPACABANA,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
CORIPATA,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
CORO CORO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
COROICO,atencion de partos en servicios,nacidos vivos,2014-01-01,29,29
CORQUE,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
COTAGAITA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
COTOCA,atencion de partos en servicios,nacidos vivos,2014-01-01,72,72
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos,2014-01-01,26,26
CUEVO,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos vivos,2014-01-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
DESAGUADERO,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
EL ALTO,atencion de partos en servicios,nacidos vivos,2014-01-01,1264,1264
EL CHORO,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
EL TORNO,atencion de partos en servicios,nacidos vivos,2014-01-01,97,97
EL VILLAR,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos,2014-01-01,24,24
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos,2014-01-01,27,27
ESCOMA,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
EUCALIPTUS,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
EXALTACION,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
FILADELFIA,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos,2014-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
GUANAY,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
GUAQUI,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos,2014-01-01,113,113
GUTIERREZ,atencion de partos en servicios,nacidos vivos,2014-01-01,11,11
HUACARETA,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
HUANUNI,atencion de partos en servicios,nacidos vivos,2014-01-01,28,28
HUARACAJE,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
ICLA,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
INCAHUASI,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
INGAVI (HUMAITA),atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
INQUISIVI,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
IXIAMAS,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
JESUS DE MACHACA,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
LA ASUNTA,atencion de partos en servicios,nacidos vivos,2014-01-01,52,52
LA GUARDIA,atencion de partos en servicios,nacidos vivos,2014-01-01,72,72
LA PAZ,atencion de partos en servicios,nacidos vivos,2014-01-01,1761,1761
LAGUNILLAS,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
LAJA,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
LAS CARRERAS,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
LICOMA PAMPA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
