municipality,group,variable,month,Total 11.6 Nacidos muertos con peso menor a 2500g,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,22,22
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,18,18
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,13,13
MINEROS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,4,4
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,4,4
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,14,14
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,23,23
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,4,4
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,3,3
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,3,3
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,4,4
REYES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,3,3
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,8,8
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,4,4
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-02-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
CHIMORE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,22,22
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,16,16
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,13,13
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,8,8
POCOATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
