municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
AYATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
MALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,5,5
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
RAVELO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
TARACO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
UMALA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,4,4
CORIPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
PUNATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
CORO CORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
INCAHUASI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,2,2
VILLA MONTES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-03-01,3,3
ACHOCALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
AYATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2017-04-01,1,1
