municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,5,5
AIQUILE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
ALALAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
ALCALA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,3,3
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,8,8
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
ARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
AUCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,8,8
BATALLAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,6,6
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
BOLIVAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CAIROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,6,6
CAMARGO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,3,3
CAPINOTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CARACOLLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,6,6
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
CHACARILLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,8,8
CHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CHUA COCANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,3,3
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,12,12
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,3,3
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,10,10
COPACABANA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,2,2
CORIPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,6,6
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,6,6
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,4,4
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2017-01-01,1,1
