municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,3,3
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,12,12
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,8,8
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,7,7
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,9,9
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,3,3
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,8,8
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,4,4
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,5,5
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,7,7
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,8,8
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,5,5
CABEZAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2017-01-01,3,3
