municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-01-01,7,7
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-03-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-03-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-04-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-04-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-04-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-05-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-05-01,3,3
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-05-01,2,2
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-06-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-06-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-07-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-07-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-07-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-07-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-08-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-08-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-09-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-09-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,3,3
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-10-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-11-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-11-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-11-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-11-01,2,2
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-12-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-12-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2017-12-01,3,3
