municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,3,3
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,7,7
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,7,7
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
PUERTO SUAREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,8,8
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,7,7
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,4,4
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,5,5
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-01-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,3,3
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,6,6
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,3,3
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,3,3
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,4,4
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,3,3
TARATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,2,2
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,1,1
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-02-01,3,3
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,7,7
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,3,3
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,5,5
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,4,4
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,5,5
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,4,4
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,10,10
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,3,3
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
SENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,3,3
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,2,2
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-03-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,16,16
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
