municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CHAYANTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-01-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-01-01,2.0,2.0
COROICO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-01-01,1.0,1.0
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-01-01,1.0,1.0
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-01-01,1.0,1.0
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
SAN BORJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,2.0,2.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
TOMAVE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-02-01,1.0,1.0
ACACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-03-01,1.0,1.0
COCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-04-01,1.0,1.0
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-04-01,1.0,1.0
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-04-01,1.0,1.0
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-04-01,1.0,1.0
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-05-01,1.0,1.0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-05-01,1.0,1.0
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-06-01,1.0,1.0
INQUISIVI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-06-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-06-01,2.0,2.0
CARACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
CLIZA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
VIACHA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-07-01,1.0,1.0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-08-01,2.0,2.0
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-08-01,1.0,1.0
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-08-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-08-01,1.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-09-01,1.0,1.0
CHIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-09-01,1.0,1.0
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-09-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-09-01,1.0,1.0
TUPIZA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-09-01,1.0,1.0
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-10-01,2.0,2.0
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-10-01,1.0,1.0
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-10-01,1.0,1.0
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-10-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-11-01,1.0,1.0
CONCEPCION,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-11-01,1.0,1.0
COTOCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-11-01,1.0,1.0
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-11-01,1.0,1.0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2017-11-01,2.0,2.0
