municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-01-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,3,3
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,2,2
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-02-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera capacitada,2017-03-01,1,1
