municipality,group,variable,month,Partos atendidos por otros,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,4,4
ARQUE,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2017-01-01,4,4
BETANZOS,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
COLQUENCHA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
CURVA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,9,9
EL TORNO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
GUANAY,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
HUMANATA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
IXIAMAS,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,4,4
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
ORURO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,7,7
PADCAYA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,3,3
POJO (CBBA),atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,6,6
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,17,17
SAIPINA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,9,9
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
TAHUA,atencion de partos en domicilio,partos atendidos por otros,2017-01-01,1,1
