municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,3,3
ACHACACHI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,20,20
ACHOCALLA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,5,5
AIQUILE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,6,6
ALALAY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,2,2
ALCALA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
ALTO BENI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,11,11
ANZALDO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,9,9
APOLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,12,12
ARAMPAMPA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,3,3
ARANI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
ARBIETO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,5,5
ARQUE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,11,11
AUCAPATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,5,5
AYATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,7,7
AYO AYO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,13,13
AZURDUY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,15,15
BATALLAS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,8,8
BERMEJO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
BETANZOS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,10,10
BOLIVAR,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,7,7
BOYUIBE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
CABEZAS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,1,1
CAIROMA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,2,2
CALACOTO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,2,2
CALAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,9,9
CAMARGO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,3,3
CAPINOTA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2017-01-01,2,2
