municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,7,7
CURVA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,3,3
PUERTO SUAREZ,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,5,5
CURVA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2017-02-01,2,2
