municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
ACHACACHI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,17,17
ACHOCALLA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,8,8
AIQUILE,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
ALALAY,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ALCALA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ALTO BENI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,rn con apego precoz,2017-01-01,10,10
ANZALDO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
APOLO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,12,12
ARAMPAMPA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
ARANI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ARBIETO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
ARQUE,atencion de partos en domicilio,rn con apego precoz,2017-01-01,8,8
AUCAPATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
AYATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,7,7
AYO AYO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
AZURDUY,atencion de partos en domicilio,rn con apego precoz,2017-01-01,15,15
BATALLAS,atencion de partos en domicilio,rn con apego precoz,2017-01-01,8,8
BETANZOS,atencion de partos en domicilio,rn con apego precoz,2017-01-01,11,11
BOLIVAR,atencion de partos en domicilio,rn con apego precoz,2017-01-01,7,7
CAIROMA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
CALACOTO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
CALAMARCA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
CAMARGO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
CAPINOTA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
CARACOLLO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,7,7
CARANAVI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,8,8
CARAPARI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
CATACORA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,16,16
CHAQUI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
CHARAGUA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,4,4
CHIMORE,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CHIPAYA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
CHUA COCANI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
CHUMA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con apego precoz,2017-01-01,11,11
CLIZA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
COCAPATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,11,11
COCHABAMBA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,rn con apego precoz,2017-01-01,8,8
COLLANA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
COLOMI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,31,31
COLQUENCHA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,7,7
COLQUIRI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,16,16
COMBAYA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CONCEPCION,atencion de partos en domicilio,rn con apego precoz,2017-01-01,4,4
COPACABANA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
CORIPATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CORO CORO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
COROICO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CORQUE,atencion de partos en domicilio,rn con apego precoz,2017-01-01,6,6
COTAGAITA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,11,11
COTOCA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CUEVO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CULPINA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
CURVA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
EL ALTO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
EL CHORO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
EL TORNO,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
ESCOMA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
FILADELFIA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con apego precoz,2017-01-01,7,7
GUANAY,atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
GUAQUI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
GUTIERREZ,atencion de partos en domicilio,rn con apego precoz,2017-01-01,5,5
HUACARETA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
HUARINA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
HUATAJATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,1,1
HUMANATA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,2,2
ICHOCA,atencion de partos en domicilio,rn con apego precoz,2017-01-01,4,4
INCAHUASI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,12,12
INQUISIVI,atencion de partos en domicilio,rn con apego precoz,2017-01-01,9,9
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,rn con apego precoz,2017-01-01,4,4
IXIAMAS,atencion de partos en domicilio,rn con apego precoz,2017-01-01,3,3
