municipality,group,variable,month,RN con malformación congénita,TOTAL
CAIROMA,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
PUERTO SILES,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
TARIJA,atencion de partos en domicilio,rn con malformacion congenita,2017-01-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2017-02-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,rn con malformacion congenita,2017-02-01,1,1
TARVITA,atencion de partos en domicilio,rn con malformacion congenita,2017-02-01,1,1
TOMAVE,atencion de partos en domicilio,rn con malformacion congenita,2017-02-01,1,1
OCURI,atencion de partos en domicilio,rn con malformacion congenita,2017-03-01,1,1
POCOATA,atencion de partos en domicilio,rn con malformacion congenita,2017-03-01,1,1
CHAQUI,atencion de partos en domicilio,rn con malformacion congenita,2017-04-01,1,1
COCAPATA,atencion de partos en domicilio,rn con malformacion congenita,2017-04-01,1,1
COLQUENCHA,atencion de partos en domicilio,rn con malformacion congenita,2017-04-01,1,1
UYUNI,atencion de partos en domicilio,rn con malformacion congenita,2017-04-01,1,1
WARNES,atencion de partos en domicilio,rn con malformacion congenita,2017-04-01,1,1
EL ALTO,atencion de partos en domicilio,rn con malformacion congenita,2017-05-01,1,1
SACACA,atencion de partos en domicilio,rn con malformacion congenita,2017-05-01,1,1
UMALA,atencion de partos en domicilio,rn con malformacion congenita,2017-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2017-05-01,1,1
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2017-05-01,1,1
CHALLAPATA,atencion de partos en domicilio,rn con malformacion congenita,2017-06-01,1,1
RAVELO,atencion de partos en domicilio,rn con malformacion congenita,2017-06-01,1,1
UNCIA,atencion de partos en domicilio,rn con malformacion congenita,2017-06-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
ESCARA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
MOJOCOYA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
SACACA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
SORATA,atencion de partos en domicilio,rn con malformacion congenita,2017-07-01,1,1
ACACIO,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
ANZALDO,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,2,2
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
COPACABANA,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
SACACA,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
SAPAHAQUI,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
SORACACHI,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,2,2
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2017-08-01,1,1
AIQUILE,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
ANZALDO,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
COTAGAITA,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
SAN ANDRES,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
TOMAVE,atencion de partos en domicilio,rn con malformacion congenita,2017-09-01,1,1
CARACOLLO,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
COPACABANA,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
TARABUCO,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
VITICHI,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,rn con malformacion congenita,2017-10-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2017-11-01,1,1
DESAGUADERO,atencion de partos en domicilio,rn con malformacion congenita,2017-11-01,1,1
SACABA,atencion de partos en domicilio,rn con malformacion congenita,2017-11-01,1,1
TACOPAYA,atencion de partos en domicilio,rn con malformacion congenita,2017-11-01,1,1
UMALA,atencion de partos en domicilio,rn con malformacion congenita,2017-11-01,1,1
ANZALDO,atencion de partos en domicilio,rn con malformacion congenita,2017-12-01,1,1
