,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,2,0,1,0,3,0,3
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,0,1,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,1,0,0,1,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,1,0,0,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,1,1,1,1,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2018-01-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,2,2,0,0,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,1,1,0,0,1,1,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,3,3,1,0,4,3,7
