,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALCALA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,0,0,1,0,1,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,0,1,0,1,0,2,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,1,1,1,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,14,8,1,2,15,10,25
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,3,0,5,1,8,1,9
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,5,2,4,3,9,12
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,3,1,4,0,7,1,8
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,1,0,0,1,1,2
EL ALTO,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,4,2,5,0,9,2,11
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,0,0,1,0,1
INQUISIVI,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,2,1,2,1,4,2,6
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,0,1,3,0,3,1,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,3,1,0,1,3,2,5
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,5,12,4,4,9,16,25
