,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-01-01,1,0,1,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-01-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-01-01,0,0,2,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,0,0,1,0,1,0,1
GUANAY,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,1,0,0,0,1,0,1
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,0,1,0,0,0,1,1
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,2,0,0,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-02-01,2,0,0,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,1,0,0,0,1,0,1
CHUMA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,1,0,1,0,2,0,2
GUANAY,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,0,0,1,0,1,0,1
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,0,0,1,0,1,0,1
