,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,0,0,1,2,1,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,11,14,1,1,12,15,27
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,12,5,0,0,12,5,17
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,4,4,0,4,4,8
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,3,0,3,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,1,0,2,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,3,0,0,3,3,6
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,1,0,3,3,6
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,0,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,2,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,10,5,4,10,14,24
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,1,0,3,1,4
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,6,0,0,9,6,15
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,1,0,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,14,14,0,0,14,14,28
