,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,0,0,1,2,1,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,14,1,1,12,15,27
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,13,7,0,1,13,8,21
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,4,4,0,4,4,8
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,0,3,0,3,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,4,0,0,3,4,7
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,4,1,0,4,4,8
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,1,0,2,0,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,2,0,2,0,4,4
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,10,5,4,10,14,24
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,2,1,3
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,3,1,1,3,4,7
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,9,0,1,11,10,21
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,5,1,0,5,5,10
