,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,0,1,0,1,1
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,2,0,0,0,2,2
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,2,0,0,1,2,1,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,2,6,0,0,2,6,8
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,2,0,0,0,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,1,1,2,0,3,1,4
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,8,6,0,0,8,6,14
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,0,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2022-01-01,0,2,0,1,0,3,3
