,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,2,0,0,0,2,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,0,0,0,2,0,2
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,3,0,0,2,3,2,5
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,2,0,0,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,2,0,0,2,2,4
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,3,0,0,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,3,0,0,2,3,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,13,3,0,1,13,4,17
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,2,0,0,2,2,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,1,0,0,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,2,0,3,1,4
