,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,0,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,7,0,0,0,7,7
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,1,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,0,2,2,2,2,4
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,2,6,0,0,2,6,8
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,1,1,1,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,2,0,0,0,2,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2022-01-01,0,1,0,0,0,1,1
