,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,13,4,2,10,15,25
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,15,14,0,0,15,14,29
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,4,0,0,6,4,10
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,2,0,2,0,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,2,0,3,1,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,4,0,0,4,4,8
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,3,0,0,6,3,9
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,3,2,4,2,6
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,3,0,0,3,3,6
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,12,1,0,12,12,24
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,2,4,3,5,8
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,8,4,1,15,9,24
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,17,18,1,2,18,20,38
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,7,6,4,10,11,21
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,34,31,0,0,34,31,65
