,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,1,0,0,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,1,0,0,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,1,0,0,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,1,4,0,0,1,4,5
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,0,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,0,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,1,0,0,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,1,0,0,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,3,0,0,0,3,0,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2022-01-01,0,4,0,1,0,5,5
