,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2017-01-01,2,2,2,2,4
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,4,0,4,4
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
ANTEQUERA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2017-01-01,2,2,2,2,4
BERMEJO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
CALACOTO,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con vacuna antirrabica,2017-01-01,3,2,3,2,5
CARANAVI,rabia,no de personas con vacuna antirrabica,2017-01-01,4,8,4,8,12
CARAPARI,rabia,no de personas con vacuna antirrabica,2017-01-01,0,3,0,3,3
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2017-01-01,10,6,10,6,16
CHIMORE,rabia,no de personas con vacuna antirrabica,2017-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
CLIZA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2017-01-01,30,32,30,32,62
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2017-01-01,3,0,3,0,3
COPACABANA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,3,2,3,5
COTOCA,rabia,no de personas con vacuna antirrabica,2017-01-01,9,7,9,7,16
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2017-01-01,11,7,11,7,18
EL ALTO,rabia,no de personas con vacuna antirrabica,2017-01-01,229,274,229,274,503
EL TORNO,rabia,no de personas con vacuna antirrabica,2017-01-01,20,12,20,12,32
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,0,2,0,2
ESCOMA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2017-01-01,1,1,1,1,2
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,1,1,1,2
GUANAY,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
GUAQUI,rabia,no de personas con vacuna antirrabica,2017-01-01,2,1,2,1,3
HUANUNI,rabia,no de personas con vacuna antirrabica,2017-01-01,3,1,3,1,4
HUAYLLAMARCA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2017-01-01,2,1,2,1,3
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2017-01-01,20,22,20,22,42
LA PAZ,rabia,no de personas con vacuna antirrabica,2017-01-01,94,81,94,81,175
LAJA,rabia,no de personas con vacuna antirrabica,2017-01-01,3,4,3,4,7
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,3,0,3,3
MAPIRI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
MINEROS,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
MIZQUE,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con vacuna antirrabica,2017-01-01,8,6,8,6,14
