,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
CARANAVI,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2017-01-01,3,2,3,2,5
COCHABAMBA,rabia,no de personas que abandonaron esquema,2017-01-01,5,0,5,0,5
COPACABANA,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2017-01-01,16,9,16,9,25
GUANAY,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
HUANUNI,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2017-01-01,4,3,4,3,7
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
MORO MORO,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2017-01-01,4,9,4,9,13
PATACAMAYA,rabia,no de personas que abandonaron esquema,2017-01-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
PUNATA,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2017-01-01,2,2,2,2,4
SACABA,rabia,no de personas que abandonaron esquema,2017-01-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2017-01-01,3,2,3,2,5
SUCRE,rabia,no de personas que abandonaron esquema,2017-01-01,12,7,12,7,19
TACOBAMBA,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
TARIJA,rabia,no de personas que abandonaron esquema,2017-01-01,9,3,9,3,12
TRINIDAD,rabia,no de personas que abandonaron esquema,2017-01-01,2,0,2,0,2
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2017-01-01,0,1,0,1,1
VILLAZON,rabia,no de personas que abandonaron esquema,2017-01-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
YACUIBA,rabia,no de personas que abandonaron esquema,2017-01-01,1,0,1,0,1
CALAMARCA,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2017-02-01,2,2,2,2,4
CHALLAPATA,rabia,no de personas que abandonaron esquema,2017-02-01,2,0,2,0,2
CLIZA,rabia,no de personas que abandonaron esquema,2017-02-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2017-02-01,1,3,1,3,4
COPACABANA,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2017-02-01,12,6,12,6,18
GUANAY,rabia,no de personas que abandonaron esquema,2017-02-01,0,1,0,1,1
HUANUNI,rabia,no de personas que abandonaron esquema,2017-02-01,2,0,2,0,2
LA PAZ,rabia,no de personas que abandonaron esquema,2017-02-01,2,2,2,2,4
MONTERO,rabia,no de personas que abandonaron esquema,2017-02-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2017-02-01,4,6,4,6,10
PATACAMAYA,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
PUERTO QUIJARRO,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2017-02-01,2,2,2,2,4
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2017-02-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2017-02-01,5,2,5,2,7
SANTIVAÑES,rabia,no de personas que abandonaron esquema,2017-02-01,1,0,1,0,1
