,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2017-01-01,1,1,1,1,2
CALACOTO,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
CARACOLLO,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-01-01,1,1,1,1,2
COROICO,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-01-01,4,3,4,3,7
EL ALTO,rabia,no de personas con esquema clasico completo,2017-01-01,14,15,14,15,29
EL TORNO,rabia,no de personas con esquema clasico completo,2017-01-01,1,1,1,1,2
LA PAZ,rabia,no de personas con esquema clasico completo,2017-01-01,2,0,2,0,2
MAIRANA,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2017-01-01,4,1,4,1,5
ORURO,rabia,no de personas con esquema clasico completo,2017-01-01,23,5,23,5,28
PADILLA,rabia,no de personas con esquema clasico completo,2017-01-01,2,0,2,0,2
PAILON,rabia,no de personas con esquema clasico completo,2017-01-01,2,1,2,1,3
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2017-01-01,21,13,21,13,34
PUCARANI,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2017-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-01-01,33,17,33,17,50
SANTIAGO DE MACHACA,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2017-01-01,1,1,1,1,2
TARIJA,rabia,no de personas con esquema clasico completo,2017-01-01,1,8,1,8,9
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-01-01,7,4,7,4,11
TUPIZA,rabia,no de personas con esquema clasico completo,2017-01-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2017-01-01,0,1,0,1,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2017-01-01,0,3,0,3,3
VILLAZON,rabia,no de personas con esquema clasico completo,2017-01-01,2,1,2,1,3
WARNES,rabia,no de personas con esquema clasico completo,2017-01-01,3,0,3,0,3
YACUIBA,rabia,no de personas con esquema clasico completo,2017-01-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2017-02-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema clasico completo,2017-02-01,1,1,1,1,2
CARMEN RIVERO TORREZ,rabia,no de personas con esquema clasico completo,2017-02-01,9,0,9,0,9
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-02-01,4,5,4,5,9
COTOCA,rabia,no de personas con esquema clasico completo,2017-02-01,1,4,1,4,5
EL ALTO,rabia,no de personas con esquema clasico completo,2017-02-01,15,11,15,11,26
EL TORNO,rabia,no de personas con esquema clasico completo,2017-02-01,1,3,1,3,4
HUANUNI,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-02-01,4,7,4,7,11
LA PAZ,rabia,no de personas con esquema clasico completo,2017-02-01,1,2,1,2,3
