,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con esquema reducido completo,2017-01-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
ALTO BENI,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
ANTEQUERA,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema reducido completo,2017-01-01,0,3,0,3,3
CAMIRI,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2017-01-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con esquema reducido completo,2017-01-01,7,4,7,4,11
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2017-01-01,18,19,18,19,37
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2017-01-01,4,0,4,0,4
COMARAPA,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2017-01-01,2,2,2,2,4
EL ALTO,rabia,no de personas con esquema reducido completo,2017-01-01,40,43,40,43,83
EL TORNO,rabia,no de personas con esquema reducido completo,2017-01-01,25,12,25,12,37
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema reducido completo,2017-01-01,3,1,3,1,4
HUAYLLAMARCA,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2017-01-01,4,2,4,2,6
LA PAZ,rabia,no de personas con esquema reducido completo,2017-01-01,47,51,47,51,98
MIZQUE,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2017-01-01,7,6,7,6,13
MOROCHATA,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema reducido completo,2017-01-01,58,42,58,42,100
PAILON,rabia,no de personas con esquema reducido completo,2017-01-01,6,6,6,6,12
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2017-01-01,1,1,1,1,2
POOPO,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2017-01-01,12,19,12,19,31
PUNATA,rabia,no de personas con esquema reducido completo,2017-01-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2017-01-01,7,10,7,10,17
ROBORE,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2017-01-01,6,6,6,6,12
SAIPINA,rabia,no de personas con esquema reducido completo,2017-01-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2017-01-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2017-01-01,2,0,2,0,2
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2017-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2017-01-01,105,94,105,94,199
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2017-01-01,1,0,1,0,1
