municipality,group,variable,month,Nº de actividades de educación en Salud Oral,TOTAL
ACACIO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,59,59
ACHACACHI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,11,11
ALCALA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
ANCORAIMES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,14,14
ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,14,14
ANTEQUERA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
ARANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
ARBIETO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,28,28
ATOCHA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,124,124
BELEN DE URMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
BELLA FLOR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,7,7
BERMEJO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,10,10
BETANZOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
BOLIVAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
CABEZAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
CAMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,119,119
CAPINOTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,15,15
CARACOLLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,70,70
CARAPARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
CHALLAPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,9,9
CHIPAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
CLIZA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,82,82
COBIJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,22,22
COCAPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
COCHABAMBA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,806,806
COLCAPIRHUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,292,292
COLOMI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,27,27
COMARAPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,18,18
COMBAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
COPACABANA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
COROICO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
CORQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,11,11
COTAGAITA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
CUATRO CAÑADAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,11,11
CUEVO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,10,10
EL ALTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,34,34
EL CHORO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
EL PUENTE(STC),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,7,7
EL PUENTE(TJA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,31,31
EL TORNO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,15,15
EL VILLAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,11,11
ENTRE RIOS TRJ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,37,37
EUCALIPTUS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,40,40
FILADELFIA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
GENERAL SAAVEDRA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,156,156
GUTIERREZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,122,122
HUANUNI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
HUARINA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
HUAYLLAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
ICLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
LA GUARDIA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,24,24
LA PAZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,383,383
LAGUNILLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
LAJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
LAS CARRERAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
MACHACAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
MAGDALENA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
MINEROS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,44,44
MOJOCOYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
MONTERO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,21,21
MOROCHATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,10,10
ORURO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,99,99
PADCAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
