,group,variable,month,TOTAL Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTAL Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CHIMORE,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-01-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-01-01,1,0,1
POTOSI,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-01-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-01-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-02-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-02-01,2,0,2
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-02-01,2,0,2
POTOSI,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-05-01,0,1,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-05-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,0,0,0
QUILLACOLLO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,5,2,7
SAN JULIAN,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-06-01,1,1,2
BERMEJO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-07-01,3,0,3
CARANAVI,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,1,0,1
CHIMORE,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,2,0,2
MAPIRI,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,3,0,3
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,2,0,2
VIACHA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-08-01,2,0,2
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-09-01,0,0,0
