,group,variable,month,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
AZURDUY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
CABEZAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
CAJUATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,1,2
CAMIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,9,1,10
CHARAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
CHAYANTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CLIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,2,3
COCAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,7,5,12
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
COLLANA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
CORIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,2,2
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,5,0,5
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,7,4,11
EL CHORO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,3,5
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,5,0,5
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,3,5
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,4,6
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,5,4,9
PALCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,3,1,4
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,3,1,4
