,group,variable,month,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
CARACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,2,5
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
CHUMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,0,3
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,5,3,8
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,0,3
CONCEPCION,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,4,0,4
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,0,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,26,18,44
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,2,5
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,4,0,4
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
HUAYLLAMARCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,4,4,8
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,8,0,8
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,1,3
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,3,3
OKINAWA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,6,3,9
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,0,3
REYES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,5,8
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,5,4,9
SAN ANDRES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,0,2
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
