,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-01-01,1.0,1.0,2.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-01-01,3.0,2.0,5.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-02-01,4.0,3.0,7.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-02-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-02-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-04-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-05-01,0.0,2.0,2.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-06-01,2.0,1.0,3.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-06-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-07-01,2.0,0.0,2.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-07-01,0.0,1.0,1.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-07-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-08-01,3.0,3.0,6.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-08-01,1.0,0.0,1.0
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-08-01,1.0,0.0,1.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-08-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-08-01,1.0,0.0,1.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-09-01,0.0,2.0,2.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-09-01,1.0,0.0,1.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-09-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,3.0,2.0,5.0
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,5.0,0.0,5.0
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,0.0,0.0,0.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,1.0,0.0,1.0
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-10-01,0.0,6.0,6.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-11-01,2.0,0.0,2.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-11-01,0.0,0.0,0.0
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-12-01,0.0,3.0,3.0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema multibacilar,2015-12-01,0.0,0.0,0.0
