,group,variable,month,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
CKOCHAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,6,3,9
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,1,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,3,12,15
ENTRE RIOS TRJ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,3,4
GUAYARAMERIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,0,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,4,2,6
LLALLAGUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,2,3
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,0,2
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,3,2,5
SACACA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,23,11,34
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,2,4
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,0,1,1
UNCIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
VIACHA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,1,2
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,1,2
