,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,2,4
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
ARBIETO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
BATALLAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
CARACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,3,6
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,2,4
CHUMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
CKOCHAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,0,3
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,21,6,27
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,0,2
COLQUECHACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,0,3
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,26,30,56
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,2,5
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,4,0,4
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
INQUISIVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,5,4,9
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,63,41,104
LORETO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
LURIBAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
MAIRANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,5,5
OKINAWA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,8,4,12
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
