,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
ACHACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,8,12
AIQUILE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,0,5
ALCALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,4,4
ALTO BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,3,8
ANCORAIMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
ANZALDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,6,10
APOLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,1,4
ARAMPAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
ARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
ARBIETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,4,7
ARQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,7,6,13
ATOCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
AUCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
AYATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,8,17
AZURDUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
BATALLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,3,7
BAURES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
BELEN DE URMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
BELLA FLOR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,2,4
BETANZOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
BOLIVAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
BOYUIBE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,2,7
CABEZAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,5,8
CAIROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
CAJUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
CALACOTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
CALAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
CAMARGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,8,11
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,11,17
CAPINOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,5,10
CARACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,8,17
CARANAVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,41,38,79
CARAPARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,4,8
CARIPUYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,7,8
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
CHALLAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,14,8,22
CHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
