,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-01-01,1,1,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-01-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-01-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-02-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-03-01,0,3,3
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-04-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-05-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-05-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-05-01,1,1,2
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-06-01,0,0,0
PADILLA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-06-01,1,0,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-07-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-07-01,2,0,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-07-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-08-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-08-01,0,1,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-08-01,0,0,0
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-09-01,2,0,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-09-01,1,0,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-10-01,3,2,5
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-10-01,0,0,0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-10-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-11-01,0,0,0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-12-01,0,0,0
OMEREQUE,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-12-01,1,2,3
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,total tratamientos iniciados con esquema pausibacilar,2015-12-01,1,1,2
