,group,variable,month,TOTAL Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTAL Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,0,1,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,5,5,10
SAN ANDRES,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,0,2,2
VIACHA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-01-01,0,1,1
CAMIRI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,2,0,2
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,1,0,1
PUNATA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-02-01,0,1,1
CAMIRI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,2,1,3
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,2,1,3
POTOSI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,1,0,1
SACABA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,2,3,5
SANTIAGO DE HUATA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,1,2
CHALLAPATA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,0,2,2
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,2,3
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,10,0,10
MECAPACA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,4,1,5
VIACHA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,1,2
