,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAJUATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,2,0,2
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,4,1,5
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,1,2
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,6,4,10
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,8,4,12
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,2,0,2
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,2,3
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,3,0,3
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,4,0,4
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,1,2
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
PUNA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,0,1
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,2,0,2
SAN PEDRO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,12,6,18
SANTIAGO DE HUATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,0,1
