,group,variable,month,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,2,6,8
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,5,0,5
GUANAY,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,3,2,5
LORETO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
LURIBAY,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,1,2
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,2,1,3
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,6,0,6
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
PUNATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,2,3
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,6,3,9
SUCRE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-01-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,5,0,5
CONCEPCION,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,2,0,2
HUANUNI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,4,0,4
MECAPACA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,3,4
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,1,2
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,2,2
SACABA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,2,2
SAN RAMON BENI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,11,3,14
SANTIAGO DE HUATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
SICAYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,3,0,3
