,group,variable,month,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,0,1,1
ARBIETO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,9,4,13
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,7,16,23
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,2,0,2
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,23,15,38
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,5,2,7
POCONA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,2,3,5
PUNA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,0,1,1
SAN BENITO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,15,15,30
SANTUARIO DE QUILLACAS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,0,1,1
SORATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,2,2,4
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,3,1,4
UYUNI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,2,0,2
VILLA MONTES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,0,1,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
CLIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
