,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,2,0,2
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,5,2,7
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-01-01,0,2,2
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,3,0,3
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,6,3,9
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-02-01,0,1,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,0,1,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,2,3
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,1,2
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,0,1
PORCO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-03-01,4,2,6
ICLA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,2,0,2
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,6,3,9
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-04-01,2,0,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,2,2,4
