,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,19,7,19,7,26
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,0,5,0,5
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
APOLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
AUCAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,1,1,1,2
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,3,1,3,4
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,12,1,12,1,13
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,0,4,0,4
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,55,3,55,3,58
CATACORA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,2,5,2,7
COBIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,0,5,0,5
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,6,3,6,3,9
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
CURVA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,1,1,1,2
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,664,50,664,50,714
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,10,3,10,3,13
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,1,3,1,4
GUANAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,15,9,15,9,24
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,2,1,2,3
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,2,2,2,4
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,9,0,9,9
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,10,5,10,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,18,5,18,5,23
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,29,0,29,0,29
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,498,6,498,6,504
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,3,4,3,7
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,7,1,7,8
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,2,2,2,4
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,4,2,4,6
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,8,0,8,0,8
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,8,12,8,12,20
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,0,5,0,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,26,1,26,1,27
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,7,3,7,3,10
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,14,1,14,1,15
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
PRESTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,0,4,0,4
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,1,0,1,1
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,1,5,1,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,1,1,1,2
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,0,4,0,4
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,13,0,13,0,13
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,1,3,1,4
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,8,1,8,1,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,14,0,14,0,14
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,4,3,4,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,2,5,2,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,6,0,6,0,6
SENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,9,0,9,0,9
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
SORATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,6,3,6,3,9
SUCRE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,24,1,24,1,25
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,6,1,6,1,7
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,0,7,0,7,7
TARACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,9,0,9,0,9
TARIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,15,0,15,0,15
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,18,5,18,5,23
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,3,0,3,0,3
