,group,variable,month,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,2,7,2,9
ACHACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,49,18,49,18,67
ACHOCALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,18,8,18,8,26
AIQUILE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,34,12,34,12,46
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,2,1,2,3
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,2,14,2,16
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,18,19,18,19,37
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,4,6,4,10
APOLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,29,8,29,8,37
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,1,2,1,3
ARANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,18,0,18,0,18
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,26,7,26,7,33
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,1,23,1,24
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,79,47,79,47,126
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,3,16,3,19
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,4,4,4,8
AYATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,13,2,13,15
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,1,13,1,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,25,13,25,13,38
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,13,9,13,22
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,16,23,16,39
BAURES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,10,0,10,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,0,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,53,12,53,12,65
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,42,32,42,32,74
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,7,5,7,12
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,0,7,0,7
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,17,4,17,4,21
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,36,33,36,33,69
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,14,9,14,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,3,7,3,10
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,21,4,21,4,25
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,2,5,2,7
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,20,5,20,5,25
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,6,23,6,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,68,2,68,2,70
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,53,3,53,3,56
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,8,1,8,1,9
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,29,8,29,8,37
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,88,13,88,13,101
CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,25,6,25,6,31
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,10,8,10,8,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,8,2,8,2,10
CATACORA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,43,12,43,12,55
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,6,4,6,10
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,45,14,45,59
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,1,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,7,16,7,23
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,51,12,51,12,63
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,0,3,0,3
CHOQUE COTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,1,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,22,8,22,8,30
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,32,14,32,14,46
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,7,13,7,20
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,15,3,15,3,18
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,31,7,31,7,38
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,142,5,142,5,147
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,3,6,3,9
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1482,18,1482,18,1500
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,133,0,133,0,133
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,22,2,22,2,24
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,37,14,37,14,51
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,1,13,1,14
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,34,23,34,57
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,15,1,15,1,16
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,27,23,27,50
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,0,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,24,8,24,8,32
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,4,1,4,5
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,29,7,29,7,36
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,28,16,28,16,44
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,25,0,25,0,25
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,0,14,0,14
COROICO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,27,7,27,7,34
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,5,3,5,8
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,26,16,26,16,42
