,group,variable,month,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,7,4,7,11
ACHACACHI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,35,10,35,10,45
ACHOCALLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,10,18,10,28
AIQUILE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,33,23,33,23,56
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,4,0,4,4
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,1,7,1,8
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,27,4,27,4,31
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,9,11,9,11,20
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
APOLO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,6,25,6,31
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,4,0,4,4
ARANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,22,0,22,0,22
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,17,8,17,8,25
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,1,12,1,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,65,44,65,44,109
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,13,4,13,4,17
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,1,1,1,2
AYATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,6,6,6,12
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,1,6,1,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,20,12,20,12,32
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,8,6,8,14
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,27,9,27,9,36
BAURES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,0,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,2,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,44,27,44,27,71
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,12,25,12,37
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,6,6,6,12
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,1,8,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,4,12,4,16
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,44,29,44,29,73
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,10,7,10,7,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,2,12,2,14
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,1,18,1,19
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,1,2,1,3
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,14,10,14,10,24
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,8,25,8,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,47,2,47,2,49
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,37,2,37,2,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,17,2,17,2,19
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,37,8,37,8,45
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,65,9,65,9,74
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,21,5,21,5,26
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,4,1,4,5
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,5,5,5,10
CATACORA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,1,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,46,7,46,7,53
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,3,5,3,8
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,46,12,46,58
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,2,8,2,10
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,53,13,53,13,66
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,1,3,1,4
CHOQUE COTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,6,4,6,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,19,18,19,18,37
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,1,7,1,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,3,8,3,11
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,3,6,3,9
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,19,12,19,12,31
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,130,7,130,7,137
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,3,11,3,14
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1224,12,1224,12,1236
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,135,1,135,1,136
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,17,0,17,0,17
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,32,6,32,6,38
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,1,8,1,9
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,26,25,26,51
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,3,12,3,15
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,23,11,23,34
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,26,7,26,7,33
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,34,6,34,6,40
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,9,12,9,21
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,38,0,38,0,38
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,0,7,0,7
COROICO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,23,5,23,5,28
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,3,3,3,6
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,20,4,20,4,24
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,135,2,135,2,137
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,2,0,2,2
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,30,0,30,0,30
