,group,variable,month,TOTAL 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,6,1,6,7
ACHACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,39,6,39,6,45
ACHOCALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,20,8,20,8,28
AIQUILE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,31,18,31,18,49
ALALAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,4,1,4,5
ALCALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,1,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,17,1,17,1,18
ANCORAIMES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,16,13,16,13,29
ANDAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,4,7,4,7,11
APOLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,31,6,31,6,37
ARAMPAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
ARANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,25,1,25,1,26
ARBIETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,22,9,22,9,31
ARQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,19,4,19,4,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,61,43,61,43,104
ATOCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,20,6,20,6,26
AUCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,2,2,2,4
AYATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,4,5,4,5,9
AYO AYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,24,2,24,2,26
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,25,5,25,5,30
AZURDUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,10,15,10,15,25
BATALLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,12,10,12,10,22
BAURES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,6,0,6,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,42,18,42,18,60
BETANZOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,34,11,34,11,45
BOLIVAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,3,3,3,3,6
BOLPEBRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,14,0,14,0,14
BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,9,6,9,6,15
CABEZAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,29,33,29,33,62
CAIROMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,12,5,12,5,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,8,1,8,1,9
CAJUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,14,1,14,1,15
CALACOTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,2,2,2,4
CALAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,21,7,21,7,28
CAMARGO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,19,4,19,4,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,70,2,70,2,72
CAPINOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,29,0,29,0,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,9,0,9,0,9
CARACOLLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,25,6,25,6,31
CARANAVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,58,13,58,13,71
CARAPARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,24,9,24,9,33
CARIPUYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,5,2,5,7
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,3,5,3,5,8
CHACARILLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,55,13,55,13,68
CHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,6,5,6,5,11
CHARAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,19,38,19,38,57
CHARAÑA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,6,8,6,8,14
CHIMORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,45,7,45,7,52
CHOQUE COTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,25,17,25,17,42
CHUMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,6,2,6,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,9,0,9,0,9
CKOCHAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,14,5,14,5,19
CLIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,33,3,33,3,36
COBIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,149,7,149,7,156
COCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,7,7,7,7,14
COCHABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,1438,16,1438,16,1454
COIPASA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,123,8,123,8,131
"COLCHA ""K""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,24,3,24,3,27
COLLANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,43,8,43,8,51
COLPA BELGICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,9,1,9,1,10
COLQUECHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,28,36,28,36,64
COLQUENCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-01-01,11,3,11,3,14
