,group,variable,month,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,70,17,70,17,87
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,33,25,33,25,58
ALALAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,3,8,3,8,11
ALCALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,15,9,15,9,24
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,1,14,1,15
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,38,12,38,12,50
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,1,9,1,10
APOLO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,1,10,1,11
ARANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,0,7,0,7
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,29,10,29,10,39
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,31,6,31,6,37
AUCAPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,1,1,1,2
AYATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,21,8,21,29
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,25,5,25,5,30
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,46,43,46,43,89
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,11,9,11,20
BAURES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,22,0,22,0,22
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,17,5,17,5,22
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,61,36,61,36,97
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,12,7,12,7,19
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,0,7,0,7
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,1,9,1,10
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,29,36,29,36,65
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,21,24,21,24,45
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,17,5,17,5,22
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,88,2,88,2,90
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,1,10,1,11
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,0,8,0,8
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,106,0,106,0,106
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,16,4,16,4,20
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,168,9,168,9,177
CARIPUYO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,12,14,12,26
CATACORA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,3,0,3,0,3
CHAQUI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,21,14,21,14,35
CHARAÑA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,13,10,13,23
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,60,38,60,38,98
CLIZA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,32,13,32,13,45
COBIJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,37,0,37,0,37
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,614,0,614,0,614
COLCAPIRHUA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,26,4,26,4,30
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,53,4,53,4,57
COLLANA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,144,9,144,9,153
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,55,127,55,127,182
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,0,9,0,9
COMANCHE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,13,0,13,0,13
COMBAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,1,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,40,0,40,0,40
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,37,27,37,27,64
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,69,0,69,0,69
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,18,0,18,0,18
COROICO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,72,12,72,12,84
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,98,62,98,62,160
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,24,0,24,0,24
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
CULPINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,51,34,51,34,85
CURVA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,4,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,0,7,0,7
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,3115,268,3115,268,3383
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,3,8,3,11
EL VILLAR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,37,6,37,6,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,62,0,62,0,62
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,2,9,2,11
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,17,14,17,31
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,12,0,12,0,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,16,8,16,8,24
GUANAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,39,11,39,11,50
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,13,2,13,2,15
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,21,8,21,8,29
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,8,6,8,14
HUARACAJE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,23,0,23,0,23
HUARINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,8,7,8,15
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,1,6,1,7
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,2,5,2,7
ICHOCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,4,5,4,9
ICLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,32,33,32,33,65
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,22,28,22,28,50
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,15,8,15,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,18,11,18,11,29
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,18,3,18,3,21
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,127,8,127,8,135
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1553,9,1553,9,1562
LAJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,25,4,25,4,29
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,16,6,16,6,22
