,group,variable,month,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,2,7,2,9
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,45,18,45,18,63
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,17,8,17,8,25
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,34,12,34,12,46
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,2,1,2,3
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,2,14,2,16
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,19,15,19,34
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,3,6,3,9
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,28,6,28,6,34
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,1,2,1,3
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,0,15,0,15
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,25,6,25,6,31
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,18,1,18,1,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,75,37,75,37,112
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,16,0,16,0,16
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,4,4,4,8
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,13,2,13,15
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,1,14,1,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,25,15,25,15,40
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,13,9,13,22
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,20,16,20,16,36
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,0,9,0,9
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,0,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,54,12,54,12,66
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,42,29,42,29,71
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,7,5,7,12
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,0,7,0,7
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,17,4,17,4,21
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,34,28,34,28,62
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,15,9,15,24
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,2,6,2,8
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,22,3,22,3,25
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,2,5,2,7
CALAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,20,5,20,5,25
CAMARGO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,21,6,21,6,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,66,2,66,2,68
CAPINOTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,53,2,53,2,55
CAQUIAVIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,1,7,1,8
CARACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,29,6,29,6,35
CARANAVI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,88,11,88,11,99
CARANGAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,21,6,21,6,27
CARIPUYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,10,8,10,8,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,8,2,8,2,10
CATACORA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,40,11,40,11,51
CHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,6,4,6,10
CHARAGUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,11,44,11,44,55
CHARAÑA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,1,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,18,6,18,6,24
CHIMORE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,41,9,41,9,50
CHIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,1,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,22,7,22,7,29
CHUMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,32,14,32,14,46
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,7,13,7,20
CKOCHAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,3,15,3,18
CLIZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,31,7,31,7,38
COBIJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,139,1,139,1,140
COCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,3,6,3,9
COCHABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1524,17,1524,17,1541
COIPASA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,128,0,128,0,128
"COLCHA ""K""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,22,2,22,2,24
COLLANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
COLOMI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,36,10,36,10,46
COLPA BELGICA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,1,13,1,14
COLQUECHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,23,31,23,31,54
COLQUENCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,5,13,5,18
COLQUIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,23,27,23,27,50
COMANCHE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,0,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,24,8,24,8,32
COMBAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,4,1,4,5
CONCEPCION,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,29,7,29,7,36
COPACABANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,26,15,26,15,41
CORIPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,25,0,25,0,25
CORO CORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,0,13,0,13
COROICO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,25,7,25,7,32
CORQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,5,3,5,8
COTAGAITA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,26,16,26,16,42
