,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,5,0,5,5
ACHACACHI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,39,19,39,19,58
ACHOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,6,13,6,19
AIQUILE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,31,3,31,3,34
ALALAY,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,9,0,9,9
ALCALA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,0,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,18,3,18,3,21
ANCORAIMES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,20,12,20,32
ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,12,4,12,16
APOLO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,11,16,11,27
ARAMPAMPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,3,1,3,4
ARANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,1,17,1,18
ARBIETO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,14,16,14,30
ARQUE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,0,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,74,39,74,39,113
ATOCHA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,3,13,3,16
AUCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,8,0,8,8
AYATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,5,2,5,7
AYO AYO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,3,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,29,9,29,9,38
AZURDUY,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,10,13,10,23
BATALLAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,18,7,18,25
BAURES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,2,7,2,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,2,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,56,0,56,0,56
BETANZOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,29,16,29,16,45
BOYUIBE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,1,3,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,2,11,2,13
CABEZAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,31,58,31,58,89
CAIROMA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,8,6,8,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,3,3,3,6
CAJUATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,8,2,8,2,10
CALAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,18,9,18,27
CAMARGO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,32,3,32,3,35
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,88,0,88,0,88
CAPINOTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,0,22,0,22
CAQUIAVIRI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,8,3,8,11
CARACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,3,22,3,25
CARANAVI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,76,7,76,7,83
CARAPARI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,3,12,3,15
CARIPUYO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,9,9,9,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,7,2,7,9
CATACORA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,64,20,64,20,84
CHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,14,1,14,15
CHARAGUA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,37,84,37,84,121
CHARAÑA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,14,9,14,23
CHIMORE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,33,7,33,7,40
CHIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,9,2,9,11
CHOQUE COTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      bcg,2014-01-01,21,5,21,5,26
CHUMA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,20,20,20,20,40
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,3,0,3,3
CKOCHAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,5,9,5,14
CLIZA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,40,6,40,6,46
COBIJA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,152,0,152,0,152
COCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,10,0,10,0,10
COCHABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1835,15,1835,15,1850
COIPASA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,69,0,69,0,69
"COLCHA ""K""",vacunaciones en menores de 1 ano,      bcg,2014-01-01,15,2,15,2,17
COLLANA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,12,17,12,29
COLPA BELGICA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,4,4,4,8
COLQUECHACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,21,41,21,41,62
COLQUENCHA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,8,6,8,14
COLQUIRI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,33,12,33,45
COMANCHE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
COMARAPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,26,4,26,4,30
COMBAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,      bcg,2014-01-01,31,5,31,5,36
COPACABANA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,10,13,10,23
CORIPATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,3,17,3,20
CORO CORO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,7,2,7,9
COROICO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,20,4,20,4,24
CORQUE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,7,2,7,9
COTAGAITA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,6,13,6,19
COTOCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,140,8,140,8,148
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,36,5,36,5,41
CUEVO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,2,6,2,8
CULPINA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,9,14,9,23
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,1,4,1,5
CURVA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,4,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,2,11,2,13
EL ALTO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1642,67,1642,67,1709
EL CHORO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,0,3,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,1,17,1,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,9,9,9,18
EL TORNO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,108,1,108,1,109
EL VILLAR,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,0,3,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,25,5,25,5,30
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,40,2,40,2,42
ESCOMA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,10,3,10,3,13
EUCALIPTUS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,20,1,20,1,21
FILADELFIA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,4,6,4,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,0,22,0,22
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,8,5,8,13
GUANAY,vacunaciones en menores de 1 ano,      bcg,2014-01-01,18,3,18,3,21
