,group,variable,month,TOTAL 1712 NEUMOCÓCICA 3RA. DOSIS CANTIDAD,TOTAL 1712 NEUMOCÓCICA 3RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,3,1,3,1,4
ALALAY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,1,0,1,1
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,1,1,1,2
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,4,0,4,4
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,0,1,0,1
COROICO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,7,0,7,0,7
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,1,1,1,2
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,0,1,0,1
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,15,1,15,1,16
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
MALLA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,3,0,3,3
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,3,2,3,5
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,3,0,3,0,3
PRESTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,1,1,1,2
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,1,0,1,1
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,0,0,0,0,0
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
SORATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,1,2,1,3
SUCRE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,3,0,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,4,2,4,2,6
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,3,1,3,1,4
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-01-01,2,0,2,0,2
ALALAY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,3,1,3,1,4
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,5,0,5,5
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,2,2,2,4
COBIJA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,8,0,8,0,8
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,27,0,27,0,27
COIPASA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,2,0,2,2
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,4,0,4,4
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,6,3,6,3,9
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,2,0,2,2
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,3,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,1,1,1,2
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,28,0,28,0,28
OCURI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
ORURO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
PAILON,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,2,2,2,4
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
PRESTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,1,1,1,2
PUNA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,4,2,4,2,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,2,0,2,0,2
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,4,0,4,0,4
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,3,0,3,0,3
SAN MATIAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,28,0,28,0,28
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,1,1,1,2
TARACO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,1,0,1,1
TRIGAL,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
UNCIA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
VILA VILA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,1,0,1,0,1
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,5,0,5,0,5
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,12,0,12,0,12
YOTALA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-02-01,0,2,0,2,2
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,7,6,7,6,13
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,4,0,4,0,4
