,group,variable,month,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,6,1,6,7
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,36,6,36,6,42
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,8,20,8,28
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,31,18,31,18,49
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,4,1,4,5
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,1,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,18,1,18,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,11,14,11,25
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,4,9,4,9,13
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,31,6,31,6,37
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,0,17,0,17
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,15,8,15,8,23
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,4,13,4,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,61,5,61,5,66
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,6,20,6,26
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,2,2,2,4
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,4,5,4,5,9
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,21,1,21,1,22
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,25,4,25,4,29
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,15,10,15,25
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,12,10,12,10,22
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,0,6,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,39,18,39,18,57
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,33,11,33,11,44
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,3,3,3,6
BOLPEBRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,0,14,0,14
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,6,10,6,16
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,25,26,25,26,51
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,12,5,12,5,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,1,7,1,8
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,1,14,1,15
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,2,2,2,4
CALAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,19,7,19,7,26
CAMARGO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,19,5,19,5,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,68,2,68,2,70
CAPINOTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,30,0,30,0,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,0,8,0,8
CARACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,25,6,25,6,31
CARANAVI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,60,14,60,14,74
CARAPARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,24,6,24,6,30
CARIPUYO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,6,2,6,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,5,3,5,8
CHACARILLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,48,13,48,13,61
CHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,5,6,5,11
CHARAGUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,33,14,33,47
CHARAÑA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,4,6,4,6,10
CHIMORE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,34,4,34,4,38
CHOQUE COTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,17,22,17,39
CHUMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,2,6,2,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,0,9,0,9
CKOCHAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,4,13,4,17
CLIZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,33,3,33,3,36
COBIJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,142,3,142,3,145
COCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,8,6,8,14
COCHABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1404,14,1404,14,1418
COIPASA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,101,1,101,1,102
"COLCHA ""K""",vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,3,20,3,23
COLLANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,38,8,38,8,46
COLPA BELGICA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,1,8,1,9
COLQUECHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,27,38,27,38,65
COLQUENCHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,5,11,5,16
COLQUIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,12,14,12,26
COMANCHE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,8,22,8,30
COMBAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,5,1,5,6
CONCEPCION,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,26,9,26,9,35
COPACABANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,14,17,14,31
CORIPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,26,0,26,0,26
CORO CORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,2,11,2,13
COROICO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,6,20,6,26
CORQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,2,3,2,5
COTAGAITA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,12,17,12,29
