,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,5,1,0,0,5,1,6
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,17,5,0,0,17,5,22
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,0,4,0,0,0,4,4
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,1,2,1,3,4
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,2,5,0,0,2,5,7
EL PUENTE(STC),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,4,0,0,0,4,0,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,5,8,906,944,911,952,1863
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,1,2,0,0,1,2,3
PATACAMAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,0,0,1002,617,1002,617,1619
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,1,2,0,0,1,2,3
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,5,32,249,169,254,201,455
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2018-01-01,21,41,0,0,21,41,62
