,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,12,17,5,6,17,23,40
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,2,0,2,0,2
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,8,12,8,12,20
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,4,3,4,3,7
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,5,6,5,6,11
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,2,3,3,3,6
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,3,5,1,2,4,7,11
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,0,1,0,1,1
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,286,9,286,9,295
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,2,5,6,6,8,14
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,5,1,3,3,8,11
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,61,44,38,57,99,101,200
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,8,6,7,8,15,14,29
CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,1,0,0,1,1,2
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,0,0,1,0,1
