,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,1,2,0,0,1,2,3
COLCAPIRHUA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,1,0,0,0,1,0,1
SAN JAVIER(BNI),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,0,1,4,1,4,5
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,0,2,6,2,6,8
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,0,0,2,0,2,2
UYUNI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,0,9,0,0,0,9,9
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2018-01-01,1,1,0,0,1,1,2
