,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ARQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,162,0,0,0,162,162
MAIRANA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,0,0,4,0,4,4
RURRENABAQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-01-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,0,0,2,0,2,2
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,0,0,1,0,1,1
COLCAPIRHUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,10,0,0,0,10,10
GUTIERREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,0,0,3,0,3,3
IXIAMAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2018-02-01,0,0,0,17,0,17,17
