,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALCALA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
ARQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,2,2,0,0,2,2,4
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,3,0,0,0,3,3
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,184,365,0,0,184,365,549
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,2,1,0,0,2,1,3
BOYUIBE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,2,8,0,0,2,8,10
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,2,0,0,0,2,2
"CAIZA ""D""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,4,8,0,0,4,8,12
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2018-01-01,1,1,0,0,1,1,2
