,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,82,0,1,0,83,83
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,2,0,0,0,2,2
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,0,0,1,0,1,1
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,5,0,40,0,45,45
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,0,0,3,0,3,3
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,5,0,1,0,6,6
BOYUIBE,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,16,0,4,0,20,20
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,3,0,0,0,3,3
CAJUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,9,0,13,0,22,22
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,5,0,3,0,8,8
CARANAVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,11,0,0,0,11,11
CARIPUYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,2,0,0,0,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,6,0,0,0,6,6
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2018-01-01,0,3,0,9,0,12,12
