,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,3,2,0,0,3,2,5
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,1,1,0,0,1,1,2
ANDAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,2,7,0,0,2,7,9
ARQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,1,1,0,0,1,1,2
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,226,290,0,0,226,290,516
BELLA FLOR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,2,14,0,0,2,14,16
BOYUIBE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,15,13,0,0,15,13,28
CALAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,0,3,0,0,0,3,3
CAMARGO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,1,6,0,1,1,7,8
CAPINOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2018-01-01,2,2,0,0,2,2,4
