,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,1.0,36.0,145.0,38.0,146.0,184.0
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,2.0,3.0,4.0,3.0,6.0,9.0
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,3.0,0.0,1.0,1.0,4.0,5.0
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,15.0,52.0,2.0,1.0,17.0,53.0,70.0
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
