,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,2,0,0,0,2,2
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,6,0,0,0,6,6
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,1,1,1,0,2,1,3
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,2,0,0,0,2,2
ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,0,0,1,0,1,1
ANZALDO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,2,1,5,1,7,8
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,4,1,0,1,4,5
ATOCHA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,0,0,1,1
AYO AYO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,2,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,1,1,0,5,1,6,7
BATALLAS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,0,9,22,9,22,31
BAURES,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2018-01-01,0,0,1,0,1,0,1
