,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,0,2,0,6,0,8,8
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,4,12,3,12,7,24,31
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,4,30,2,2,6,32,38
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,6,6,4,24,10,30,40
ALALAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,0,0,0,2,0,2,2
ALCALA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,1,2,0,0,1,2,3
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,23,12,19,18,42,30,72
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,3,12,0,4,3,16,19
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,3,3,4,2,7,5,12
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,2,0,10,3,12,3,15
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,0,4,0,1,0,5,5
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,0,2,9,18,9,20,29
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,4,10,1,0,5,10,15
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,2,4,11,11,13,15,28
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,5,10,1,0,6,10,16
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2018-01-01,9,64,0,4,9,68,77
