,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,6,5,0,0,6,5,11
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,2,0,0,0,2,0,2
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,3,0,0,0,3,3
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,3,10,0,0,3,10,13
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,6,39,43,39,49,88
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,2,1,0,0,2,1,3
PATACAMAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,0,645,502,645,502,1147
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,0,6,4,6,4,10
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,6,2,0,0,6,2,8
