,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,4,0,1,0,5,5
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,16,0,1,1,17,18
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,1,6,1,7,2,9
ALCALA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,4,4,1,5,5,10
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,3,0,1,0,4,4
ANDAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,0,0,2,0,2,2
ANZALDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,0,0,2,0,2,2
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,3,10,1,2,4,12,16
ARAMPAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,1,3,5,3,6,9
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,5,0,2,0,7,7
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,5,3,14,4,19,23
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,4,0,0,1,4,5
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,12,0,0,0,12,12
ATOCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,1,7,0,2,1,9,10
AUCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2018-01-01,0,3,0,0,0,3,3
